epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,2235.05,0.89575,0.59784,0.90891,0.78772,0.77442,0.83173,0.59537,0.87812,0.61878,0.9021,0.000577782,0.000577782,0.000577782
134,2251.26,0.89956,0.59824,0.90706,0.79626,0.75212,0.82746,0.58629,0.8774,0.62769,0.9002,0.000569531,0.000569531,0.000569531
135,2267.18,0.89892,0.59837,0.90722,0.77406,0.74276,0.81715,0.58259,0.86654,0.62107,0.90418,0.000561279,0.000561279,0.000561279
136,2283.05,0.90508,0.59911,0.9064,0.80575,0.76025,0.83828,0.59584,0.87725,0.60936,0.90562,0.000553027,0.000553027,0.000553027
137,2299.1,0.89838,0.59622,0.90634,0.80416,0.72577,0.825,0.58565,0.88055,0.62978,0.90651,0.000544776,0.000544776,0.000544776
138,2315,0.88939,0.59327,0.90596,0.76679,0.7794,0.81451,0.58585,0.87549,0.63585,0.90663,0.000536524,0.000536524,0.000536524
139,2331.49,0.89244,0.59458,0.90605,0.75234,0.77628,0.82052,0.58323,0.87156,0.62306,0.90049,0.000528272,0.000528272,0.000528272
140,2347.48,0.8873,0.59089,0.90455,0.79069,0.74981,0.8223,0.5933,0.87088,0.62159,0.89966,0.000520021,0.000520021,0.000520021
141,2363.31,0.87939,0.58703,0.90142,0.78936,0.74894,0.82364,0.58763,0.87628,0.61417,0.9023,0.000511769,0.000511769,0.000511769
142,2379.3,0.88565,0.59076,0.90345,0.78922,0.76153,0.81981,0.58544,0.87534,0.61113,0.89995,0.000503517,0.000503517,0.000503517
143,2395.51,0.88524,0.58829,0.90233,0.78802,0.7757,0.82627,0.59354,0.87464,0.615,0.90233,0.000495266,0.000495266,0.000495266
144,2411.24,0.87215,0.58375,0.89989,0.79409,0.76833,0.83247,0.59735,0.87056,0.61711,0.90036,0.000487014,0.000487014,0.000487014
145,2427.18,0.88963,0.59196,0.90273,0.80462,0.74999,0.82978,0.59679,0.86545,0.61998,0.89856,0.000478762,0.000478762,0.000478762
146,2443.29,0.88746,0.58983,0.90336,0.79781,0.76793,0.83378,0.59504,0.86838,0.61445,0.90153,0.000470511,0.000470511,0.000470511
147,2459.41,0.87862,0.58489,0.90416,0.7629,0.76144,0.82304,0.58399,0.86009,0.62857,0.89925,0.000462259,0.000462259,0.000462259
148,2475.41,0.86771,0.57673,0.89977,0.76197,0.74789,0.82037,0.58774,0.87136,0.6252,0.90218,0.000454007,0.000454007,0.000454007
149,2491.36,0.88488,0.58988,0.90193,0.83142,0.70737,0.81462,0.58011,0.87673,0.64142,0.90362,0.000445756,0.000445756,0.000445756
150,2507.1,0.88027,0.58454,0.9029,0.80778,0.75221,0.82925,0.59126,0.86537,0.61876,0.90036,0.000437504,0.000437504,0.000437504
151,2523.23,0.87412,0.5801,0.89922,0.81735,0.75482,0.83806,0.60308,0.84823,0.59547,0.89579,0.000429253,0.000429253,0.000429253
152,2539.41,0.87256,0.58187,0.90004,0.78391,0.7561,0.83036,0.59348,0.86254,0.60646,0.89791,0.000421001,0.000421001,0.000421001
153,2555.32,0.87039,0.57888,0.89769,0.80407,0.73989,0.8279,0.59375,0.85738,0.60963,0.89677,0.000412749,0.000412749,0.000412749
154,2570.9,0.87515,0.58344,0.89973,0.80663,0.75997,0.83638,0.59483,0.85284,0.60495,0.89753,0.000404498,0.000404498,0.000404498
155,2587.03,0.86687,0.57546,0.89839,0.80712,0.73585,0.82816,0.58714,0.86234,0.61907,0.90007,0.000396246,0.000396246,0.000396246
156,2603.02,0.87087,0.57825,0.89976,0.80599,0.71705,0.8149,0.58576,0.86725,0.62944,0.89866,0.000387994,0.000387994,0.000387994
157,2619.14,0.86299,0.57552,0.89677,0.75194,0.77073,0.83117,0.59544,0.86226,0.60804,0.89873,0.000379743,0.000379743,0.000379743
158,2634.87,0.86084,0.57733,0.89846,0.77451,0.74781,0.81987,0.58622,0.86741,0.6105,0.90185,0.000371491,0.000371491,0.000371491
159,2651.32,0.85936,0.57345,0.89834,0.79487,0.757,0.83381,0.59936,0.86029,0.60528,0.89831,0.000363239,0.000363239,0.000363239
160,2667.05,0.8678,0.57798,0.89763,0.7897,0.74856,0.82627,0.59693,0.85721,0.61492,0.8983,0.000354988,0.000354988,0.000354988
161,2683.14,0.86784,0.57588,0.89781,0.78669,0.73955,0.8243,0.5918,0.8569,0.60861,0.89668,0.000346736,0.000346736,0.000346736
162,2699.35,0.86085,0.57204,0.89463,0.80122,0.73854,0.8277,0.59526,0.85257,0.60809,0.89748,0.000338484,0.000338484,0.000338484
163,2715.2,0.86332,0.57358,0.898,0.79267,0.73868,0.81992,0.59332,0.85523,0.61232,0.89689,0.000330233,0.000330233,0.000330233
164,2731.3,0.85303,0.56951,0.89675,0.82411,0.70359,0.81907,0.5889,0.85166,0.61272,0.89865,0.000321981,0.000321981,0.000321981
165,2747.22,0.85284,0.56733,0.892,0.80754,0.7335,0.82735,0.59565,0.85016,0.61012,0.89581,0.000313729,0.000313729,0.000313729
166,2763.22,0.85831,0.57237,0.8959,0.81736,0.71211,0.81937,0.58783,0.8558,0.61527,0.89635,0.000305478,0.000305478,0.000305478
167,2779.05,0.85799,0.57126,0.8938,0.77778,0.75314,0.82391,0.58924,0.85945,0.60804,0.8983,0.000297226,0.000297226,0.000297226
168,2795.14,0.84479,0.56705,0.89437,0.79612,0.75244,0.83479,0.59918,0.84794,0.59837,0.89591,0.000288974,0.000288974,0.000288974
169,2811.15,0.85363,0.56776,0.89441,0.79258,0.75011,0.83356,0.59559,0.85421,0.6026,0.89628,0.000280723,0.000280723,0.000280723
170,2827.09,0.84609,0.56531,0.89343,0.7767,0.74221,0.82633,0.59267,0.85744,0.60167,0.89886,0.000272471,0.000272471,0.000272471
171,2843.17,0.85861,0.57155,0.89509,0.78088,0.76406,0.83535,0.59946,0.85159,0.59434,0.89453,0.00026422,0.00026422,0.00026422
172,2859.14,0.85743,0.57115,0.89289,0.78463,0.74971,0.83194,0.5998,0.8479,0.59559,0.89239,0.000255968,0.000255968,0.000255968
173,2875.54,0.84218,0.5619,0.89362,0.78396,0.7353,0.82751,0.59658,0.84392,0.59788,0.89288,0.000247716,0.000247716,0.000247716
174,2892.08,0.84283,0.56324,0.89252,0.76708,0.74295,0.82232,0.59466,0.8387,0.59924,0.89197,0.000239465,0.000239465,0.000239465
175,2908.15,0.8457,0.56426,0.89161,0.78618,0.74354,0.82419,0.5971,0.83564,0.60053,0.89176,0.000231213,0.000231213,0.000231213
176,2924.2,0.85213,0.56603,0.89049,0.77497,0.74974,0.82781,0.5972,0.8441,0.59816,0.89373,0.000222961,0.000222961,0.000222961
177,2940.36,0.84728,0.56608,0.892,0.79481,0.73062,0.82102,0.59188,0.84043,0.60062,0.89284,0.00021471,0.00021471,0.00021471
178,2957.05,0.83321,0.55948,0.89228,0.80629,0.72774,0.8252,0.59285,0.85247,0.59761,0.89414,0.000206458,0.000206458,0.000206458
179,2973.56,0.84927,0.56199,0.89256,0.7994,0.73876,0.82529,0.59577,0.84507,0.59988,0.89482,0.000198206,0.000198206,0.000198206
180,2989.76,0.83418,0.55806,0.89069,0.80241,0.73353,0.82869,0.59921,0.84356,0.5987,0.89365,0.000189955,0.000189955,0.000189955
181,3005.84,0.8411,0.55961,0.89052,0.80184,0.74583,0.83197,0.59997,0.83771,0.59899,0.89293,0.000181703,0.000181703,0.000181703
