epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1122.63,0.88504,0.59384,0.90102,0.91273,0.45377,0.53016,0.368,0.86255,0.61174,0.92805,0.000396262,0.000396262,0.000396262
148,1130.04,0.89228,0.59533,0.90343,0.88485,0.45281,0.52268,0.36779,0.85925,0.61675,0.92615,0.000389188,0.000389188,0.000389188
149,1137.6,0.89003,0.5902,0.90174,0.89203,0.47214,0.52349,0.36363,0.85873,0.61546,0.9235,0.000382115,0.000382115,0.000382115
150,1145.16,0.86722,0.58189,0.89833,0.89089,0.48275,0.53101,0.37164,0.86222,0.61616,0.92652,0.000375041,0.000375041,0.000375041
151,1152.78,0.88398,0.59007,0.90102,0.90315,0.45727,0.52397,0.36812,0.86414,0.61742,0.92679,0.000367967,0.000367967,0.000367967
152,1160.32,0.86974,0.58393,0.90149,0.89794,0.48325,0.53434,0.37469,0.8552,0.61066,0.92337,0.000360894,0.000360894,0.000360894
153,1167.89,0.90068,0.59408,0.90038,0.92274,0.47336,0.53629,0.37596,0.84349,0.60609,0.92166,0.00035382,0.00035382,0.00035382
154,1175.61,0.88616,0.5894,0.89957,0.88795,0.4831,0.52937,0.37182,0.85096,0.60804,0.92475,0.000346747,0.000346747,0.000346747
155,1183.38,0.88661,0.58871,0.89882,0.90435,0.47664,0.52663,0.36421,0.85549,0.60828,0.92431,0.000339673,0.000339673,0.000339673
156,1191.08,0.85803,0.58116,0.89853,0.92117,0.45787,0.53306,0.37468,0.84593,0.60573,0.9249,0.0003326,0.0003326,0.0003326
157,1198.67,0.85916,0.57988,0.89601,0.90238,0.45207,0.52552,0.36691,0.84774,0.60662,0.92361,0.000325526,0.000325526,0.000325526
158,1206.23,0.87103,0.58985,0.90096,0.90852,0.4702,0.5308,0.369,0.85155,0.60903,0.92439,0.000318453,0.000318453,0.000318453
159,1213.8,0.87166,0.58289,0.89977,0.88578,0.48381,0.53255,0.37135,0.85341,0.60842,0.92519,0.000311379,0.000311379,0.000311379
160,1221.4,0.85471,0.57694,0.89663,0.89301,0.47736,0.53505,0.37537,0.84034,0.60345,0.92301,0.000304306,0.000304306,0.000304306
161,1228.99,0.87798,0.58608,0.89918,0.91597,0.47487,0.53585,0.37681,0.84348,0.60328,0.92431,0.000297232,0.000297232,0.000297232
162,1236.66,0.8596,0.57861,0.89638,0.90585,0.47596,0.53546,0.38248,0.84626,0.60576,0.92291,0.000290158,0.000290158,0.000290158
163,1244.26,0.87559,0.58202,0.89732,0.90251,0.47657,0.53055,0.37799,0.84108,0.60574,0.92107,0.000283085,0.000283085,0.000283085
164,1251.81,0.8677,0.58008,0.89744,0.89425,0.48022,0.53603,0.38394,0.83809,0.60231,0.92115,0.000276011,0.000276011,0.000276011
165,1259.48,0.85884,0.57779,0.89662,0.87984,0.48093,0.52642,0.37071,0.84754,0.60594,0.92412,0.000268938,0.000268938,0.000268938
166,1266.99,0.85334,0.57455,0.89631,0.90921,0.48461,0.53652,0.37489,0.83618,0.59965,0.91898,0.000261864,0.000261864,0.000261864
167,1274.54,0.85699,0.57534,0.89443,0.92116,0.47822,0.53348,0.37551,0.83264,0.5989,0.91987,0.000254791,0.000254791,0.000254791
168,1282.1,0.8612,0.57342,0.89558,0.91362,0.47632,0.53334,0.37398,0.84038,0.59873,0.91968,0.000247717,0.000247717,0.000247717
169,1289.66,0.85791,0.57694,0.89615,0.90849,0.48468,0.53932,0.38427,0.83528,0.59732,0.92106,0.000240644,0.000240644,0.000240644
170,1297.3,0.85538,0.57506,0.89674,0.91394,0.48752,0.54006,0.38023,0.83437,0.59606,0.92032,0.00023357,0.00023357,0.00023357
171,1304.83,0.85924,0.5767,0.89356,0.91623,0.47763,0.53953,0.3822,0.82997,0.59731,0.91906,0.000226497,0.000226497,0.000226497
172,1312.33,0.85533,0.57298,0.89435,0.90324,0.48384,0.53849,0.38717,0.82813,0.59295,0.91902,0.000219423,0.000219423,0.000219423
173,1319.8,0.8654,0.57623,0.89055,0.91818,0.4761,0.53842,0.38033,0.83167,0.59647,0.91912,0.000212349,0.000212349,0.000212349
174,1327.55,0.85413,0.57358,0.89436,0.89859,0.48239,0.53387,0.37971,0.83487,0.6001,0.92103,0.000205276,0.000205276,0.000205276
175,1335.21,0.85938,0.57308,0.89355,0.89804,0.48815,0.53875,0.38266,0.82892,0.59484,0.91847,0.000198202,0.000198202,0.000198202
176,1342.71,0.84388,0.56996,0.89233,0.90621,0.48236,0.5351,0.38029,0.82527,0.59188,0.91816,0.000191129,0.000191129,0.000191129
177,1350.32,0.8459,0.56732,0.89139,0.8973,0.48649,0.53094,0.37523,0.82658,0.59237,0.91654,0.000184055,0.000184055,0.000184055
178,1357.89,0.83773,0.5666,0.8923,0.91228,0.48563,0.5363,0.37914,0.8239,0.59105,0.91649,0.000176982,0.000176982,0.000176982
179,1365.53,0.84601,0.56592,0.89087,0.91049,0.48242,0.53409,0.38487,0.82225,0.59039,0.91777,0.000169908,0.000169908,0.000169908
180,1373.21,0.84575,0.56675,0.89345,0.89018,0.48215,0.53236,0.38065,0.82789,0.59606,0.92019,0.000162835,0.000162835,0.000162835
